image_name,channel,plate,row,column,time,plane,resolution_x,resolution_y,resolution_z,center_x,center_y,center_z,fov
p1_wF14_t1_m8_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14365.328273229072,0.0,p1_wF14_t1_m8
p1_wF14_t1_m8_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14365.328273229072,0.0,p1_wF14_t1_m8
p1_wF14_t1_m8_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14365.328273229072,0.0,p1_wF14_t1_m8
p1_wF14_t1_m8_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14365.328273229072,0.0,p1_wF14_t1_m8
p1_wF14_t1_m9_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14365.328273229072,0.0,p1_wF14_t1_m9
p1_wF14_t1_m9_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14365.328273229072,0.0,p1_wF14_t1_m9
p1_wF14_t1_m9_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14365.328273229072,0.0,p1_wF14_t1_m9
p1_wF14_t1_m9_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14365.328273229072,0.0,p1_wF14_t1_m9
p1_wF14_t1_m9_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14365.328273229072,0.0,p1_wF14_t1_m9
p1_wF14_t1_m10_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14672.09027322907,0.0,p1_wF14_t1_m10
p1_wF14_t1_m10_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14672.09027322907,0.0,p1_wF14_t1_m10
p1_wF14_t1_m10_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14672.09027322907,0.0,p1_wF14_t1_m10
p1_wF14_t1_m10_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14672.09027322907,0.0,p1_wF14_t1_m10
p1_wF14_t1_m10_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,41215.05111039558,14672.09027322907,0.0,p1_wF14_t1_m10
p1_wF14_t1_m11_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14672.09027322907,0.0,p1_wF14_t1_m11
p1_wF14_t1_m11_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14672.09027322907,0.0,p1_wF14_t1_m11
p1_wF14_t1_m11_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14672.09027322907,0.0,p1_wF14_t1_m11
p1_wF14_t1_m11_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14672.09027322907,0.0,p1_wF14_t1_m11
p1_wF14_t1_m11_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40908.289110395584,14672.09027322907,0.0,p1_wF14_t1_m11
