donor,well,fov,id,umap_x,umap_y
AML1_M2,D2,158,11,1.5846438,1.7590753
AML1_M2,D2,238,11,-0.14059724,6.1027613
AML1_M2,D2,42,3,0.43986395,6.0262303
AML1_M2,D2,218,10,6.9517236,4.3222914
AML1_M2,B2,63,9,-1.2337644,5.4361544
AML1_M2,F2,213,18,-2.6139598,5.687177
AML1_M2,B2,139,24,-1.9534197,6.0743957
AML1_M2,J2,32,1,0.4197752,5.8956404
AML1_M2,B2,92,6,0.76400876,4.8217936
AML1_M2,F2,168,4,-1.175824,5.611332
AML1_M2,D2,220,10,-2.0952148,5.5884633
AML1_M2,B2,55,23,3.3663723,-1.1459501
AML1_M2,F2,232,16,-1.1390285,5.2954903
AML1_M2,B2,191,8,2.4876866,8.911977
AML1_M2,F2,79,12,-1.084838,5.669593
AML1_M2,B2,240,11,-1.7128952,6.4837456
AML1_M2,J2,118,7,1.0933301,2.4601042
AML1_M2,J2,192,8,-2.3355408,5.6983757
AML1_M2,F2,74,16,2.2173634,1.7299501
AML1_M2,B2,5,10,-2.2317016,5.542318
AML1_M2,F2,130,14,-0.9348325,5.19122
AML1_M2,D2,240,2,-2.4929376,5.830897
AML1_M2,J2,174,4,-1.9901112,5.498406
AML1_M2,D2,182,9,-1.3688018,4.5616384
AML1_M2,F2,223,20,3.740438,-1.3612075
AML1_M2,B2,82,12,-1.0481603,6.9654303
AML1_M2,B2,22,22,0.7757972,-0.77554274
AML1_M2,D2,136,19,-2.7480385,5.4449506
AML1_M2,B2,221,6,-1.3538872,5.5255575
AML1_M2,B2,8,16,-1.8144515,5.592742
AML1_M2,B2,90,17,-1.3769667,5.2513323
AML1_M2,B2,207,12,-0.6573241,-0.55110204
AML1_M2,H2,44,6,1.6312373,0.5882999
AML1_M2,B2,132,13,0.43157887,6.1608086
AML1_M2,J2,106,15,-0.8783526,5.6746325
AML1_M2,D2,156,19,-0.01978649,2.487122
AML1_M2,B2,176,16,-2.0770934,5.8526626
AML1_M2,H2,148,7,-1.065408,5.5297747
AML1_M2,F2,95,9,-1.6380078,2.2392948
AML1_M2,B2,185,6,-2.3078585,5.7220416
AML1_M2,H2,134,7,-0.029285274,5.8854012
AML1_M2,J2,101,2,1.934424,8.307296
AML1_M2,J2,94,8,-0.60410684,4.336819
AML1_M2,D2,189,16,2.9821014,1.9380351
AML1_M2,B2,170,21,6.2720118,2.48112
AML1_M2,B2,129,18,-2.1487415,5.3538847
AML1_M2,D2,179,6,-2.2026806,5.5005727
AML1_M2,J2,160,7,2.0296192,1.8788924
