donor,well,fov,id,umap_x,umap_y,NUCLEUS METCENTER-X,NUCLEUS METCENTER-Y
AML1_M2,F2,232,16,-1.1390285,5.2954903,4252.4091796875,16563.49609375
AML1_M2,B2,191,8,2.4876866,8.911977,2305.4580078125,3578.910888671875
AML1_M2,F2,79,12,-1.084838,5.669593,2303.46728515625,15092.3662109375
AML1_M2,B2,240,11,-1.7128952,6.4837456,3688.49658203125,4189.9951171875
AML1_M2,J2,118,7,1.0933301,2.4601042,3074.424560546875,27633.884765625
AML1_M2,J2,192,8,-2.3355408,5.6983757,2384.167724609375,28342.30078125
AML1_M2,F2,74,16,2.2173634,1.7299501,2015.3292236328125,14911.1591796875
AML1_M2,B2,5,10,-2.2317016,5.542318,3219.036865234375,2903.384033203125
AML1_M2,F2,130,14,-0.9348325,5.19122,2166.101806640625,15178.9013671875
AML1_M2,D2,240,2,-2.4929376,5.830897,3637.6552734375,10429.78125
AML1_M2,J2,174,4,-1.9901112,5.498406,3559.2109375,28130.740234375
AML1_M2,D2,182,9,-1.3688018,4.5616384,3012.972412109375,9695.2109375
AML1_M2,F2,223,20,3.740438,-1.3612075,3751.869873046875,16340.58203125
AML1_M2,B2,82,12,-1.0481603,6.9654303,2750.819580078125,2509.9921875
AML1_M2,B2,22,22,0.7757972,-0.77554274,2976.094482421875,1917.9007568359373
AML1_M2,D2,136,19,-2.7480385,5.4449506,2079.37255859375,9462.5400390625
AML1_M2,B2,221,6,-1.3538872,5.5255575,3747.315185546875,3841.113037109375
AML1_M2,B2,8,16,-1.8144515,5.592742,3349.11572265625,3085.704345703125
AML1_M2,B2,90,17,-1.3769667,5.2513323,3287.66064453125,2515.9873046875
AML1_M2,B2,207,12,-0.6573241,-0.55110204,2611.719970703125,3977.513427734375
AML1_M2,H2,44,6,1.6312373,0.5882999,4163.521484375,20884.486328125
AML1_M2,B2,132,13,0.43157887,6.1608086,2060.395263671875,2955.762939453125
AML1_M2,J2,106,15,-0.8783526,5.6746325,4279.33447265625,27487.728515625
AML1_M2,D2,156,19,-0.01978649,2.487122,3638.26318359375,9479.720703125
AML1_M2,B2,176,16,-2.0770934,5.8526626,3576.805908203125,3683.113037109375
AML1_M2,H2,148,7,-1.065408,5.5297747,2992.591064453125,21840.3671875
AML1_M2,F2,95,9,-1.6380078,2.2392948,3389.491455078125,15106.5322265625
AML1_M2,B2,185,6,-2.3078585,5.7220416,2581.835205078125,3438.52685546875
AML1_M2,H2,134,7,-0.029285274,5.8854012,2100.8857421875,21716.9921875
AML1_M2,J2,101,2,1.934424,8.307296,4034.3955078125,27320.087890625
AML1_M2,J2,94,8,-0.60410684,4.336819,3657.887939453125,27207.62109375
AML1_M2,D2,189,16,2.9821014,1.9380351,2160.2978515625,9714.48046875
AML1_M2,B2,170,21,6.2720118,2.48112,3954.21826171875,3387.457763671875
AML1_M2,B2,129,18,-2.1487415,5.3538847,1997.0787353515625,2891.872314453125
AML1_M2,D2,179,6,-2.2026806,5.5005727,3188.8583984375,9784.734375
AML1_M2,J2,160,7,2.0296192,1.8788924,3915.553955078125,28103.08203125
AML1_M2,F2,45,7,0.60722184,6.074306,3783.87890625,14657.708984375
AML1_M2,H2,15,11,-0.080383986,6.3288517,2302.4638671875,20669.6953125
AML1_M2,B2,18,34,3.4699433,-0.7702027,2655.974609375,1918.5079345703125
AML1_M2,B2,81,19,2.7088778,6.808616,2537.925537109375,2585.417724609375
AML1_M2,H2,11,5,-2.1461782,3.5892382,1919.3525390625,20679.830078125
AML1_M2,F2,117,11,-2.2059205,5.7826843,2866.130126953125,15153.2265625
AML1_M2,J2,157,7,-1.4830867,5.323557,3758.29248046875,27850.763671875
AML1_M2,D2,178,10,1.864476,1.9192667,3242.69873046875,9641.6376953125
AML1_M2,J2,184,20,-2.9413073,-1.7832826,3046.077880859375,28397.015625
AML1_M2,D2,23,4,0.32469127,5.7048283,2789.0,8200.787109375
AML1_M2,D2,238,4,-2.5219946,5.7311172,3558.078125,10227.77734375
AML1_M2,B2,62,26,-0.45630264,5.6557674,2733.946044921875,2200.996826171875
AML1_M2,B2,183,19,-2.8753943,-0.9763441,2844.919189453125,3656.536376953125
AML1_M2,H2,147,14,-0.73059803,-1.7252582,2778.5234375,21781.525390625
AML1_M2,B2,199,7,-1.9423298,5.5600514,1994.056640625,3975.388916015625
AML1_M2,B2,61,20,1.0231522,5.4450197,2503.89111328125,2213.46826171875
AML1_M2,H2,161,13,-0.22435814,-2.5969496,4024.822998046875,21667.916015625
AML1_M2,B2,9,37,2.1917908,2.4082196,1858.01123046875,1854.5382080078125
AML1_M2,B2,43,7,-1.1386832,5.6185327,4137.44384765625,2352.64990234375
AML1_M2,J2,237,3,-2.4120092,5.6668143,3493.890380859375,28824.697265625
AML1_M2,B2,139,10,-1.9675759,6.161429,2205.365966796875,3394.342041015625
AML1_M2,F2,93,10,-1.6237923,4.787521,3389.66162109375,14942.4228515625
AML1_M2,J2,72,32,3.3793993,-0.717767,2052.7900390625,27054.64453125
AML1_M2,F2,194,14,-0.72071034,2.6697834,2139.995849609375,15784.375
AML1_M2,B2,135,23,2.4867096,2.0992117,1853.7734375,3246.718017578125
AML1_M2,J2,102,5,2.4624283,3.172019,4243.00830078125,27170.33203125
AML1_M2,J2,165,4,0.40047085,6.083041,4102.00634765625,28180.6796875
AML1_M2,J2,83,15,-2.1553068,5.372749,2493.52587890625,27351.36328125
AML1_M2,H2,205,11,2.077673,1.7830878,2467.54736328125,22366.384765625
AML1_M2,H2,121,6,-1.0620263,5.6309686,2615.474365234375,21373.681640625
AML1_M2,B2,21,3,0.7557468,5.834408,2842.3994140625,1906.927734375
AML1_M2,F2,104,21,0.33548176,-0.4418177,4303.3330078125,15100.654296875
AML1_M2,J2,221,7,-1.4351807,5.7658434,3780.865478515625,28509.359375
AML1_M2,H2,232,20,2.4551187,2.0563412,4225.263671875,22689.78125
