image_names,roi,umap_x,umap_y,image_path,AF488_imagepath,AF555_imagepath,AF647_imagepath,AF750_imagepath,DAPI_imagepath
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi074_163,roi074,11.419579,-2.7331462,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi021_64,roi021,-3.273245,-0.59078974,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi064_122,roi064,11.102544,-3.0770025,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi110_4,roi110,9.660367,8.407981,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi102_214,roi102,13.225445,-0.6108446,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi065_248,roi065,8.59087,5.891366,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi110_123,roi110,12.949681,2.0680523,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi031_173,roi031,7.2714653,2.6964302,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi058_171,roi058,6.6454706,0.80817676,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
BOMI1_1_ostmanpanel_1-ImageExport-01_DAPI_ORG_roi053_230,roi053,11.91105,-2.077285,/Users/gantug/Pictures/wallpapers/pc.jpeg,/Users/gantug/Pictures/wallpapers/csgo.jpeg,/Users/gantug/Pictures/wallpapers/discovery.jpeg,/Users/gantug/Pictures/wallpapers/walle.jpeg,/Users/gantug/Pictures/wallpapers/metro.jpeg,/Users/gantug/Pictures/wallpapers/hedwig.jpeg
